frame_id,student_code,behavior_label,confidence,cx,cy,timestamp
1,unknown,normal posture,1.0,314,541,2026-05-03 21:16:23
1,unknown,normal posture,1.0,684,495,2026-05-03 21:16:23
1,unknown,normal posture,1.0,441,423,2026-05-03 21:16:23
1,unknown,normal posture,1.0,79,435,2026-05-03 21:16:23
1,unknown,normal posture,1.0,793,353,2026-05-03 21:16:23
1,unknown,normal posture,1.0,1183,402,2026-05-03 21:16:23
1,unknown,normal posture,1.0,1183,487,2026-05-03 21:16:23
1,unknown,normal posture,1.0,903,469,2026-05-03 21:16:23
2,unknown,normal posture,1.0,314,541,2026-05-03 21:16:23
2,unknown,normal posture,1.0,684,495,2026-05-03 21:16:23
2,unknown,normal posture,1.0,441,423,2026-05-03 21:16:23
2,unknown,normal posture,1.0,79,435,2026-05-03 21:16:23
2,unknown,normal posture,1.0,793,353,2026-05-03 21:16:23
2,unknown,normal posture,1.0,1183,402,2026-05-03 21:16:23
2,unknown,normal posture,1.0,1183,487,2026-05-03 21:16:23
2,unknown,normal posture,1.0,903,469,2026-05-03 21:16:23
3,unknown,normal posture,1.0,314,541,2026-05-03 21:16:23
3,unknown,normal posture,1.0,685,495,2026-05-03 21:16:23
3,unknown,normal posture,1.0,441,423,2026-05-03 21:16:23
3,unknown,normal posture,1.0,79,435,2026-05-03 21:16:23
3,unknown,normal posture,1.0,794,354,2026-05-03 21:16:23
3,unknown,normal posture,1.0,1183,402,2026-05-03 21:16:23
3,unknown,normal posture,1.0,1184,487,2026-05-03 21:16:23
3,unknown,normal posture,1.0,904,469,2026-05-03 21:16:23
4,unknown,normal posture,1.0,314,541,2026-05-03 21:16:24
4,unknown,normal posture,1.0,685,495,2026-05-03 21:16:24
4,unknown,normal posture,1.0,442,423,2026-05-03 21:16:24
4,unknown,normal posture,1.0,79,436,2026-05-03 21:16:24
4,unknown,normal posture,1.0,795,354,2026-05-03 21:16:24
4,unknown,normal posture,1.0,1183,403,2026-05-03 21:16:24
4,unknown,normal posture,1.0,1025,518,2026-05-03 21:16:24
4,unknown,normal posture,1.0,1181,491,2026-05-03 21:16:24
5,unknown,normal posture,1.0,314,541,2026-05-03 21:16:24
5,unknown,normal posture,1.0,684,495,2026-05-03 21:16:24
5,unknown,normal posture,1.0,441,423,2026-05-03 21:16:24
5,unknown,normal posture,1.0,1025,518,2026-05-03 21:16:24
5,unknown,normal posture,1.0,79,436,2026-05-03 21:16:24
5,unknown,normal posture,1.0,795,353,2026-05-03 21:16:24
5,unknown,normal posture,1.0,1183,403,2026-05-03 21:16:24
5,unknown,normal posture,1.0,1181,491,2026-05-03 21:16:24
6,unknown,normal posture,1.0,314,542,2026-05-03 21:16:24
6,unknown,normal posture,1.0,683,495,2026-05-03 21:16:24
6,unknown,normal posture,1.0,441,423,2026-05-03 21:16:24
6,unknown,normal posture,1.0,1025,518,2026-05-03 21:16:24
6,unknown,normal posture,1.0,79,435,2026-05-03 21:16:24
6,unknown,normal posture,1.0,795,353,2026-05-03 21:16:24
6,unknown,normal posture,1.0,1183,404,2026-05-03 21:16:24
6,unknown,normal posture,1.0,1181,491,2026-05-03 21:16:24
7,unknown,normal posture,1.0,314,542,2026-05-03 21:16:24
7,unknown,normal posture,1.0,685,496,2026-05-03 21:16:24
7,unknown,normal posture,1.0,441,423,2026-05-03 21:16:24
7,unknown,normal posture,1.0,1026,518,2026-05-03 21:16:24
7,unknown,normal posture,1.0,78,431,2026-05-03 21:16:24
7,unknown,normal posture,1.0,794,353,2026-05-03 21:16:24
7,unknown,normal posture,1.0,1183,405,2026-05-03 21:16:24
7,unknown,normal posture,1.0,1181,491,2026-05-03 21:16:24
8,unknown,normal posture,1.0,315,542,2026-05-03 21:16:24
8,unknown,normal posture,1.0,686,496,2026-05-03 21:16:24
8,unknown,normal posture,1.0,1025,518,2026-05-03 21:16:24
8,unknown,normal posture,1.0,441,423,2026-05-03 21:16:24
8,unknown,normal posture,1.0,76,430,2026-05-03 21:16:24
8,unknown,normal posture,1.0,795,352,2026-05-03 21:16:24
8,unknown,normal posture,1.0,1181,490,2026-05-03 21:16:24
8,unknown,normal posture,1.0,1183,404,2026-05-03 21:16:24
9,unknown,normal posture,1.0,315,542,2026-05-03 21:16:24
9,unknown,normal posture,1.0,685,496,2026-05-03 21:16:24
9,unknown,normal posture,1.0,1026,518,2026-05-03 21:16:24
9,unknown,normal posture,1.0,441,423,2026-05-03 21:16:24
9,unknown,normal posture,1.0,75,430,2026-05-03 21:16:24
9,unknown,normal posture,1.0,795,352,2026-05-03 21:16:24
9,unknown,normal posture,1.0,1181,490,2026-05-03 21:16:24
9,unknown,normal posture,1.0,1183,405,2026-05-03 21:16:24
10,unknown,normal posture,1.0,315,542,2026-05-03 21:16:25
10,unknown,normal posture,1.0,684,496,2026-05-03 21:16:25
10,unknown,normal posture,1.0,1027,518,2026-05-03 21:16:25
10,stu_003,normal posture,1.0,442,422,2026-05-03 21:16:25
10,stu_004,normal posture,1.0,75,430,2026-05-03 21:16:25
10,unknown,normal posture,1.0,795,353,2026-05-03 21:16:25
10,unknown,normal posture,1.0,1182,490,2026-05-03 21:16:25
11,unknown,normal posture,1.0,315,542,2026-05-03 21:16:25
11,unknown,normal posture,1.0,685,496,2026-05-03 21:16:25
