帧号,学生ID,行为
1,unknown,normal posture
1,unknown,normal posture
1,stu_003,normal posture
1,unknown,normal posture
1,unknown,normal posture
1,unknown,normal posture
1,stu_005,normal posture
2,unknown,normal posture
2,unknown,normal posture
2,stu_003,normal posture
2,unknown,normal posture
2,unknown,normal posture
2,unknown,normal posture
2,stu_005,normal posture
3,unknown,normal posture
3,unknown,normal posture
3,stu_003,normal posture
3,unknown,normal posture
3,unknown,normal posture
3,unknown,normal posture
3,stu_005,normal posture
4,unknown,normal posture
4,unknown,normal posture
4,stu_003,normal posture
4,unknown,normal posture
4,unknown,normal posture
4,unknown,normal posture
5,unknown,normal posture
5,unknown,normal posture
5,stu_003,normal posture
5,unknown,normal posture
5,unknown,normal posture
5,unknown,normal posture
5,unknown,normal posture
6,unknown,normal posture
6,unknown,normal posture
6,stu_003,normal posture
6,unknown,normal posture
6,unknown,normal posture
6,unknown,normal posture
6,unknown,normal posture
6,stu_006,normal posture
7,unknown,normal posture
7,unknown,normal posture
7,stu_003,normal posture
7,unknown,normal posture
7,unknown,normal posture
7,unknown,normal posture
7,unknown,normal posture
8,unknown,normal posture
8,unknown,normal posture
8,stu_003,normal posture
8,unknown,normal posture
8,stu_005,normal posture
8,unknown,normal posture
8,unknown,normal posture
9,unknown,normal posture
9,unknown,normal posture
9,stu_003,normal posture
9,unknown,normal posture
9,stu_004,normal posture
9,unknown,normal posture
9,unknown,normal posture
10,unknown,normal posture
10,unknown,normal posture
10,unknown,normal posture
10,stu_003,normal posture
10,unknown,normal posture
10,stu_004,normal posture
10,unknown,normal posture
11,unknown,normal posture
11,unknown,normal posture
11,unknown,normal posture
11,stu_003,normal posture
11,stu_004,normal posture
11,unknown,normal posture
11,unknown,normal posture
12,unknown,normal posture
12,unknown,normal posture
12,unknown,normal posture
12,stu_003,normal posture
12,stu_004,normal posture
12,unknown,normal posture
12,unknown,normal posture
13,unknown,normal posture
13,stu_004,normal posture
13,unknown,normal posture
13,stu_003,normal posture
13,stu_004,normal posture
13,unknown,normal posture
13,unknown,normal posture
14,unknown,normal posture
14,stu_004,normal posture
14,stu_003,normal posture
14,stu_005,normal posture
14,unknown,normal posture
14,unknown,normal posture
14,unknown,normal posture
14,stu_006,normal posture
15,unknown,normal posture
15,unknown,normal posture
15,stu_003,normal posture
15,stu_005,normal posture
15,unknown,normal posture
15,unknown,normal posture
15,unknown,normal posture
16,unknown,normal posture
16,unknown,normal posture
16,stu_003,normal posture
16,stu_005,normal posture
16,unknown,normal posture
16,unknown,normal posture
16,unknown,normal posture
17,unknown,normal posture
17,unknown,normal posture
17,stu_003,normal posture
17,stu_005,normal posture
17,unknown,normal posture
17,unknown,normal posture
17,unknown,normal posture
18,unknown,normal posture
18,unknown,normal posture
18,stu_004,normal posture
18,unknown,normal posture
18,stu_003,normal posture
18,unknown,normal posture
18,unknown,normal posture
18,stu_006,normal posture
19,unknown,normal posture
19,unknown,normal posture
19,unknown,normal posture
19,stu_004,normal posture
19,unknown,normal posture
19,stu_003,normal posture
19,unknown,normal posture
19,stu_006,normal posture
20,unknown,normal posture
20,unknown,normal posture
20,unknown,normal posture
20,unknown,normal posture
20,stu_003,normal posture
20,unknown,normal posture
20,stu_004,normal posture
20,stu_006,normal posture
21,unknown,normal posture
21,unknown,normal posture
21,unknown,normal posture
21,stu_003,normal posture
21,unknown,normal posture
21,unknown,normal posture
21,stu_004,normal posture
22,unknown,normal posture
22,unknown,normal posture
22,unknown,normal posture
22,stu_003,raised hand
22,stu_004,normal posture
22,unknown,normal posture
22,stu_003,normal posture
22,unknown,normal posture
23,unknown,normal posture
23,unknown,normal posture
23,unknown,normal posture
23,stu_004,normal posture
23,unknown,normal posture
23,stu_003,normal posture
23,unknown,raised hand
23,unknown,normal posture
24,unknown,normal posture
24,unknown,normal posture
24,stu_004,normal posture
24,unknown,normal posture
24,stu_003,normal posture
24,unknown,normal posture
24,unknown,raised hand
24,unknown,normal posture
25,unknown,normal posture
25,unknown,normal posture
25,unknown,normal posture
25,unknown,normal posture
25,stu_003,normal posture
25,unknown,normal posture
25,unknown,raised hand
25,unknown,normal posture
26,unknown,normal posture
26,unknown,normal posture
26,stu_003,normal posture
26,unknown,normal posture
26,unknown,raised hand
26,unknown,normal posture
26,unknown,raised hand
26,stu_005,normal posture
27,unknown,normal posture
27,unknown,normal posture
27,stu_003,normal posture
27,unknown,normal posture
27,unknown,raised hand
27,unknown,raised hand
27,unknown,normal posture
27,stu_006,normal posture
28,unknown,normal posture
28,unknown,raised hand
28,unknown,normal posture
28,stu_003,normal posture
28,stu_006,raised hand
28,stu_005,normal posture
29,unknown,normal posture
