frame_id,student_id,behavior_label,confidence,cx,cy,timestamp
1,1,Writing,0.95,987,191,2026-04-14 17:35:41
1,2,Reading,0.95,106,466,2026-04-14 17:35:41
1,3,Useing-Phone,0.95,334,422,2026-04-14 17:35:41
1,4,Writing,0.95,658,283,2026-04-14 17:35:41
1,5,Useing-Phone,0.94,241,461,2026-04-14 17:35:41
1,6,Writing,0.94,176,321,2026-04-14 17:35:41
1,7,Useing-Phone,0.93,503,314,2026-04-14 17:35:41
1,8,Useing-Phone,0.93,623,218,2026-04-14 17:35:41
1,9,Useing-Phone,0.93,435,183,2026-04-14 17:35:41
1,10,Reading,0.92,93,347,2026-04-14 17:35:41
1,11,Useing-Phone,0.92,361,218,2026-04-14 17:35:41
1,12,Useing-Phone,0.92,589,141,2026-04-14 17:35:41
1,13,Reading,0.91,489,105,2026-04-14 17:35:41
1,14,Useing-Phone,0.91,679,116,2026-04-14 17:35:41
1,15,Head-down,0.91,655,160,2026-04-14 17:35:41
1,16,Sleeping,0.91,564,249,2026-04-14 17:35:41
1,17,Reading,0.91,131,277,2026-04-14 17:35:41
1,18,Writing,0.9,497,160,2026-04-14 17:35:41
1,19,Reading,0.9,798,90,2026-04-14 17:35:41
1,20,Reading,0.9,743,72,2026-04-14 17:35:41
1,21,Useing-Phone,0.9,626,123,2026-04-14 17:35:41
1,22,Useing-Phone,0.9,499,202,2026-04-14 17:35:41
1,23,Reading,0.9,438,117,2026-04-14 17:35:41
1,24,Reading,0.89,724,183,2026-04-14 17:35:41
1,25,Reading,0.89,686,195,2026-04-14 17:35:41
1,26,Useing-Phone,0.89,836,84,2026-04-14 17:35:41
1,27,Head-down,0.88,422,246,2026-04-14 17:35:41
1,28,Reading,0.87,861,109,2026-04-14 17:35:41
1,29,Sleeping,0.86,778,69,2026-04-14 17:35:41
1,30,Reading,0.86,895,97,2026-04-14 17:35:41
1,31,Head-down,0.85,512,81,2026-04-14 17:35:41
1,32,Reading,0.44,399,125,2026-04-14 17:35:41
2,1,Writing,0.94,987,192,2026-04-14 17:35:41
2,2,Reading,0.95,106,466,2026-04-14 17:35:41
2,3,Useing-Phone,0.94,333,422,2026-04-14 17:35:41
2,4,Writing,0.95,658,283,2026-04-14 17:35:41
2,5,Useing-Phone,0.93,240,462,2026-04-14 17:35:41
2,6,Writing,0.94,177,321,2026-04-14 17:35:41
2,7,Useing-Phone,0.91,504,314,2026-04-14 17:35:41
2,8,Useing-Phone,0.93,623,218,2026-04-14 17:35:41
2,9,Useing-Phone,0.93,435,183,2026-04-14 17:35:41
2,10,Reading,0.92,93,347,2026-04-14 17:35:41
2,11,Useing-Phone,0.91,361,217,2026-04-14 17:35:41
2,12,Useing-Phone,0.92,590,141,2026-04-14 17:35:41
2,13,Reading,0.91,489,105,2026-04-14 17:35:41
2,14,Useing-Phone,0.85,680,114,2026-04-14 17:35:41
2,15,Head-down,0.93,654,159,2026-04-14 17:35:41
2,16,Sleeping,0.91,564,249,2026-04-14 17:35:41
