epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.243,1.31797,5.85989,1.30853,0.3041,0.35101,0.27195,0.16181,1.28766,6.26728,1.35919,0.000333008,0.000333008,0.000333008
2,387.079,1.33771,5.36018,1.35009,0.3922,0.39253,0.31486,0.18946,1.30628,6.11139,1.37985,0.000653148,0.000653148,0.000653148
3,573.928,1.30769,5.09769,1.33554,0.49181,0.36751,0.37586,0.24033,1.24664,5.87544,1.33976,0.000960087,0.000960087,0.000960087
4,759.557,1.25915,4.80236,1.31093,0.42472,0.38482,0.36865,0.24507,1.16771,5.57782,1.27448,0.0009406,0.0009406,0.0009406
5,945.402,1.19932,4.5024,1.27178,0.42495,0.43512,0.40576,0.26608,1.14345,5.33292,1.25955,0.0009208,0.0009208,0.0009208
6,1130.92,1.16706,4.32817,1.25688,0.45528,0.4298,0.42067,0.29244,1.08831,5.54733,1.23155,0.000901,0.000901,0.000901
7,1316.01,1.13247,4.16615,1.23756,0.496,0.47256,0.46339,0.31896,1.07745,5.31495,1.22309,0.0008812,0.0008812,0.0008812
8,1501.16,1.1079,4.00773,1.21991,0.54571,0.45342,0.44857,0.30682,1.07309,5.62224,1.22293,0.0008614,0.0008614,0.0008614
9,1685.88,1.07901,3.85688,1.20168,0.53779,0.46874,0.49441,0.34316,1.02649,5.35897,1.18659,0.0008416,0.0008416,0.0008416
10,1871.07,1.06063,3.7454,1.19171,0.54103,0.48496,0.50137,0.34824,1.01522,5.30156,1.18692,0.0008218,0.0008218,0.0008218
11,2056.76,1.0511,3.69938,1.18873,0.50855,0.49155,0.47979,0.33493,1.02018,5.52081,1.18817,0.000802,0.000802,0.000802
12,2241.83,1.03005,3.57081,1.17558,0.51439,0.48277,0.49152,0.3514,0.9984,5.2847,1.1763,0.0007822,0.0007822,0.0007822
13,2427.3,1.01702,3.50876,1.16495,0.55492,0.52069,0.5225,0.36977,1.02036,5.52144,1.19182,0.0007624,0.0007624,0.0007624
14,2613.01,1.00394,3.42703,1.1584,0.53533,0.51617,0.52077,0.36831,0.99488,5.35792,1.17458,0.0007426,0.0007426,0.0007426
15,2798.39,0.98646,3.35457,1.14562,0.50199,0.49983,0.4951,0.35352,0.96041,5.38027,1.1471,0.0007228,0.0007228,0.0007228
16,2984.04,0.98446,3.31095,1.14681,0.54724,0.51791,0.52462,0.38522,0.94054,5.18495,1.13583,0.000703,0.000703,0.000703
17,3169.56,0.97778,3.2727,1.138,0.60256,0.49497,0.52206,0.37536,0.96187,5.37883,1.15264,0.0006832,0.0006832,0.0006832
18,3355.3,0.95959,3.19693,1.13216,0.56848,0.48483,0.5045,0.36396,0.96,5.41552,1.13951,0.0006634,0.0006634,0.0006634
19,3540.4,0.95564,3.14812,1.12912,0.5826,0.53474,0.55554,0.40527,0.93731,5.107,1.12754,0.0006436,0.0006436,0.0006436
20,3725.92,0.94159,3.07892,1.11956,0.5516,0.51018,0.51923,0.38189,0.93762,5.41316,1.13989,0.0006238,0.0006238,0.0006238
21,3910.86,0.93271,3.0316,1.11278,0.56508,0.50196,0.52479,0.38237,0.93089,5.43431,1.12842,0.000604,0.000604,0.000604
22,4096.36,0.93225,3.00814,1.1106,0.57353,0.49783,0.52626,0.39014,0.9315,5.47,1.13005,0.0005842,0.0005842,0.0005842
23,4282.01,0.91575,2.95841,1.10269,0.55753,0.53702,0.54917,0.40387,0.92349,5.48085,1.12745,0.0005644,0.0005644,0.0005644
24,4467.41,0.91072,2.8921,1.09723,0.63534,0.49115,0.53965,0.39823,0.92413,5.61379,1.13408,0.0005446,0.0005446,0.0005446
25,4652.94,0.90419,2.84752,1.09224,0.60593,0.4868,0.54138,0.4002,0.90821,5.76107,1.12096,0.0005248,0.0005248,0.0005248
26,4837.79,0.89399,2.81308,1.09382,0.63371,0.49163,0.54965,0.40061,0.91648,5.88647,1.12099,0.000505,0.000505,0.000505
27,5022.8,0.88642,2.77773,1.08363,0.59401,0.50432,0.53477,0.39626,0.9144,5.74863,1.12913,0.0004852,0.0004852,0.0004852
28,5208.25,0.88276,2.72742,1.0858,0.60058,0.47879,0.5197,0.38892,0.90977,5.82085,1.11259,0.0004654,0.0004654,0.0004654
29,5393.37,0.8841,2.72039,1.08195,0.5672,0.49988,0.52535,0.39557,0.9104,5.67504,1.11537,0.0004456,0.0004456,0.0004456
