epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.608,1.19166,1.92866,1.25223,0.28767,0.41442,0.28678,0.18058,1.18899,2.19999,1.27785,0.000333008,0.000333008,0.000333008
2,347.982,1.16327,1.65387,1.25687,0.32506,0.38817,0.33492,0.2185,1.16969,1.94833,1.3052,0.000653148,0.000653148,0.000653148
3,516.171,1.14492,1.58845,1.25878,0.45067,0.38374,0.37703,0.24818,1.17718,1.99297,1.30736,0.000960087,0.000960087,0.000960087
4,683.49,1.09956,1.48519,1.22932,0.39614,0.45377,0.36782,0.25034,1.08632,1.88426,1.25832,0.0009406,0.0009406,0.0009406
5,851.638,1.05087,1.38586,1.19968,0.46189,0.41246,0.40857,0.28557,1.03334,1.80393,1.21166,0.0009208,0.0009208,0.0009208
6,1019.58,1.01903,1.33306,1.18007,0.44562,0.44639,0.4089,0.28718,1.00376,1.88529,1.18966,0.000901,0.000901,0.000901
7,1187.74,0.98398,1.25901,1.16259,0.49743,0.47875,0.48682,0.3396,0.98731,1.76107,1.18263,0.0008812,0.0008812,0.0008812
8,1355.58,0.97006,1.2333,1.15165,0.49822,0.45654,0.46516,0.33608,0.98338,1.78616,1.17813,0.0008614,0.0008614,0.0008614
9,1523.3,0.94565,1.19242,1.13913,0.56114,0.45611,0.47922,0.34308,0.97804,1.84042,1.18058,0.0008416,0.0008416,0.0008416
10,1690.56,0.92413,1.14961,1.1242,0.56474,0.43786,0.45532,0.32553,0.97414,1.90964,1.17684,0.0008218,0.0008218,0.0008218
11,1858.38,0.9116,1.1224,1.12009,0.50623,0.47412,0.47903,0.3399,0.95723,1.73928,1.17231,0.000802,0.000802,0.000802
12,2025.79,0.89582,1.08748,1.10925,0.54145,0.46522,0.48118,0.34795,0.95843,1.87169,1.16649,0.0007822,0.0007822,0.0007822
13,2193.74,0.88264,1.06307,1.09437,0.59962,0.46011,0.50589,0.37093,0.92312,1.81094,1.13657,0.0007624,0.0007624,0.0007624
14,2361.29,0.87386,1.0515,1.09428,0.52214,0.47424,0.47465,0.35244,0.94251,1.84018,1.16435,0.0007426,0.0007426,0.0007426
15,2529.31,0.85951,1.02573,1.0863,0.56061,0.46191,0.49985,0.37,0.92404,1.85746,1.14074,0.0007228,0.0007228,0.0007228
16,2696.54,0.85113,0.99547,1.08017,0.5785,0.46869,0.5099,0.37824,0.90615,1.8595,1.12961,0.000703,0.000703,0.000703
17,2864.91,0.84025,0.98457,1.07323,0.58191,0.47413,0.50448,0.37301,0.90535,1.88032,1.13742,0.0006832,0.0006832,0.0006832
18,3033.22,0.83039,0.96466,1.06937,0.58283,0.45446,0.49874,0.37631,0.89156,1.85018,1.12628,0.0006634,0.0006634,0.0006634
19,3201.74,0.82142,0.93982,1.06316,0.58666,0.45405,0.49605,0.36969,0.89197,1.97769,1.12442,0.0006436,0.0006436,0.0006436
20,3370.88,0.81169,0.92778,1.05857,0.60952,0.44629,0.49739,0.37861,0.88635,1.95747,1.11306,0.0006238,0.0006238,0.0006238
21,3539.06,0.80316,0.91233,1.051,0.56666,0.47227,0.50877,0.38661,0.87504,1.86132,1.10566,0.000604,0.000604,0.000604
22,3706.6,0.79662,0.89825,1.04623,0.59822,0.4728,0.49072,0.37664,0.88441,2.00503,1.12372,0.0005842,0.0005842,0.0005842
23,3874.25,0.78547,0.88069,1.03876,0.61974,0.49942,0.54591,0.40333,0.87082,1.88275,1.11336,0.0005644,0.0005644,0.0005644
