epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,172.856,1.58901,6.71435,1.51673,0.33307,0.2697,0.13944,0.07802,1.36134,5.69407,1.42037,0.00999023,0.00333008,0.00999023,0.00333008,0.00999023,0.00333008,0.00999023,0.00333008
2,292.256,1.45003,5.29684,1.46252,0.2545,0.39245,0.22285,0.12556,1.31257,5.13209,1.39163,0.0197923,0.00659744,0.0197923,0.00659744,0.0197923,0.00659744,0.0197923,0.00659744
3,399.6,1.42383,4.86825,1.45216,0.28716,0.32277,0.25203,0.14926,1.31309,5.06413,1.4104,0.0293964,0.00979881,0.0293964,0.00979881,0.0293964,0.00979881,0.0293964,0.00979881
4,502.097,1.40135,4.58331,1.44792,0.28321,0.3386,0.26406,0.16026,1.30043,5.00395,1.40322,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,605.654,1.37324,4.34116,1.42322,0.34132,0.32106,0.28352,0.17748,1.28757,5.04778,1.39753,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,707.903,1.35751,4.21177,1.41479,0.33002,0.37687,0.31405,0.19428,1.28192,5.02444,1.38991,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,809.669,1.3358,4.09292,1.40069,0.38746,0.38805,0.35181,0.22077,1.23795,4.61758,1.36025,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,913.005,1.32387,3.99793,1.38908,0.37469,0.39683,0.33998,0.20924,1.23552,4.87954,1.3473,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1015.47,1.30597,3.90635,1.37436,0.45696,0.39019,0.39437,0.25093,1.21581,4.752,1.34183,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1118.12,1.29319,3.83138,1.36567,0.41242,0.37825,0.37616,0.23887,1.21508,4.80488,1.34943,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
